date,reality,green1,green2,green3,blue1,blue2,blue3,med,min,max,error_min,error_med,error_max
2020-11-27,1090.4489795918369,1136.183673469388,1136.183673469388,1136.183673469388,1136.183673469388,1136.183673469388,1136.183673469388,1136.183673469388,1136.183673469388,1136.183673469388,1.5,1.5,1.5
2020-11-28,1080.1836734693877,1121.795918367347,1121.795918367347,1121.795918367347,1121.795918367347,1121.795918367347,1121.795918367347,1121.795918367347,1121.795918367347,1121.795918367347,1.4,1.4,1.4
2020-11-29,1069.9183673469388,1107.4081632653063,1107.4081632653063,1107.4081632653063,1107.4081632653063,1107.4081632653063,1107.4081632653063,1107.4081632653063,1107.4081632653063,1107.4081632653063,1.2,1.2,1.2
2020-11-30,1059.6530612244899,1093.0204081632653,1093.0204081632653,1093.0204081632653,1093.0204081632653,1093.0204081632653,1093.0204081632653,1093.0204081632653,1093.0204081632653,1093.0204081632653,1.1,1.1,1.1
2020-12-01,1049.387755102041,1078.6326530612246,1078.6326530612246,1078.6326530612246,1078.6326530612246,1078.6326530612246,1078.6326530612246,1078.6326530612246,1078.6326530612246,1078.6326530612246,1,1,1
2020-12-02,1039.1224489795918,1064.2448979591836,1064.2448979591836,1064.2448979591836,1064.2448979591836,1064.2448979591836,1064.2448979591836,1064.2448979591836,1064.2448979591836,1064.2448979591836,0.8,0.8,0.8
2020-12-03,1028.857142857143,1049.857142857143,1049.857142857143,1049.857142857143,1049.857142857143,1049.857142857143,1049.857142857143,1049.857142857143,1049.857142857143,1049.857142857143,0.7,0.7,0.7
2020-12-04,1022.5714285714286,1032.1836734693877,1032.1836734693877,1032.1836734693877,1032.1836734693877,1032.1836734693877,1032.1836734693877,1032.1836734693877,1032.1836734693877,1032.1836734693877,0.3,0.3,0.3
2020-12-05,1016.2857142857143,1014.5102040816327,1014.5102040816327,1014.5102040816327,1014.5102040816327,1014.5102040816327,1014.5102040816327,1014.5102040816327,1014.5102040816327,1014.5102040816327,-0.1,-0.1,-0.1
2020-12-06,1010,996.8367346938776,996.8367346938776,996.8367346938776,996.8367346938776,996.8367346938776,996.8367346938776,996.8367346938776,996.8367346938776,996.8367346938776,-0.4,-0.4,-0.4
2020-12-07,1003.7142857142858,979.1632653061224,979.1632653061224,979.1632653061224,979.1632653061224,979.1632653061224,979.1632653061224,979.1632653061224,979.1632653061224,979.1632653061224,-0.8,-0.8,-0.8
2020-12-08,997.4285714285714,961.4897959183673,961.4897959183673,961.4897959183673,961.4897959183673,961.4897959183673,961.4897959183673,961.4897959183673,961.4897959183673,961.4897959183673,-1.2,-1.2,-1.2
2020-12-09,991.1428571428572,943.8163265306123,943.8163265306123,943.8163265306123,943.8163265306123,943.8163265306123,943.8163265306123,943.8163265306123,943.8163265306123,943.8163265306123,-1.6,-1.6,-1.6
2020-12-10,984.8571428571429,926.1428571428571,926.1428571428571,926.1428571428571,926.1428571428571,926.1428571428571,926.1428571428571,926.1428571428571,926.1428571428571,926.1428571428571,-1.9,-1.9,-1.9
2020-12-11,984.8979591836735,931.8571428571428,931.8571428571428,931.8571428571428,931.8571428571428,931.8571428571428,931.8571428571428,931.8571428571428,931.8571428571428,931.8571428571428,-1.7,-1.7,-1.7
2020-12-12,984.9387755102041,937.5714285714286,937.5714285714286,937.5714285714286,937.5714285714286,937.5714285714286,937.5714285714286,937.5714285714286,937.5714285714286,937.5714285714286,-1.6,-1.6,-1.6
2020-12-13,984.9795918367347,943.2857142857142,943.2857142857142,943.2857142857142,943.2857142857142,943.2857142857142,943.2857142857142,943.2857142857142,943.2857142857142,943.2857142857142,-1.4,-1.4,-1.4
2020-12-14,985.0204081632653,949,949,949,949,949,949,949,949,949,-1.2,-1.2,-1.2
2020-12-15,985.0612244897959,954.7142857142857,954.7142857142857,954.7142857142857,954.7142857142857,954.7142857142857,954.7142857142857,954.7142857142857,954.7142857142857,954.7142857142857,-1,-1,-1
2020-12-16,985.1020408163265,960.4285714285714,960.4285714285714,960.4285714285714,960.4285714285714,960.4285714285714,960.4285714285714,960.4285714285714,960.4285714285714,960.4285714285714,-0.8,-0.8,-0.8
2020-12-17,985.1428571428571,966.1428571428571,966.1428571428571,966.1428571428571,966.1428571428571,966.1428571428571,966.1428571428571,966.1428571428571,966.1428571428571,966.1428571428571,-0.6,-0.6,-0.6
2020-12-18,972.8979591836735,966.0204081632653,966.0204081632653,966.0204081632653,966.0204081632653,966.0204081632653,966.0204081632653,966.0204081632653,966.0204081632653,966.0204081632653,-0.2,-0.2,-0.2
2020-12-19,960.6530612244898,965.8979591836735,965.8979591836735,965.8979591836735,965.8979591836735,965.8979591836735,965.8979591836735,965.8979591836735,965.8979591836735,965.8979591836735,0.2,0.2,0.2
2020-12-20,948.4081632653061,965.7755102040817,965.7755102040817,965.7755102040817,965.7755102040817,965.7755102040817,965.7755102040817,965.7755102040817,965.7755102040817,965.7755102040817,0.6,0.6,0.6
2020-12-21,936.1632653061224,965.6530612244898,965.6530612244898,965.6530612244898,965.6530612244898,965.6530612244898,965.6530612244898,965.6530612244898,965.6530612244898,965.6530612244898,1,1,1
2020-12-22,923.9183673469388,965.530612244898,965.530612244898,965.530612244898,965.530612244898,965.530612244898,965.530612244898,965.530612244898,965.530612244898,965.530612244898,1.4,1.4,1.4
2020-12-23,911.6734693877552,965.4081632653061,965.4081632653061,965.4081632653061,965.4081632653061,965.4081632653061,965.4081632653061,965.4081632653061,965.4081632653061,965.4081632653061,1.8,1.8,1.8
2020-12-24,899.4285714285714,965.2857142857143,965.2857142857143,965.2857142857143,965.2857142857143,965.2857142857143,965.2857142857143,965.2857142857143,965.2857142857143,965.2857142857143,2.2,2.2,2.2
2020-12-25,907.1020408163265,969.9183673469388,969.9183673469388,969.9183673469388,969.9183673469388,969.9183673469388,969.9183673469388,969.9183673469388,969.9183673469388,969.9183673469388,2.1,2.1,2.1
2020-12-26,914.7755102040817,974.5510204081633,974.5510204081633,974.5510204081633,974.5510204081633,974.5510204081633,974.5510204081633,974.5510204081633,974.5510204081633,974.5510204081633,2,2,2
2020-12-27,922.4489795918367,979.1836734693877,979.1836734693877,979.1836734693877,979.1836734693877,979.1836734693877,979.1836734693877,979.1836734693877,979.1836734693877,979.1836734693877,1.9,1.9,1.9
2020-12-28,930.1224489795918,983.8163265306123,983.8163265306123,983.8163265306123,983.8163265306123,983.8163265306123,983.8163265306123,983.8163265306123,983.8163265306123,983.8163265306123,1.8,1.8,1.8
2020-12-29,937.7959183673469,988.4489795918367,988.4489795918367,988.4489795918367,988.4489795918367,988.4489795918367,988.4489795918367,988.4489795918367,988.4489795918367,988.4489795918367,1.7,1.7,1.7
2020-12-30,945.469387755102,993.0816326530612,993.0816326530612,993.0816326530612,993.0816326530612,993.0816326530612,993.0816326530612,993.0816326530612,993.0816326530612,993.0816326530612,1.6,1.6,1.6
2020-12-31,953.1428571428571,997.7142857142857,997.7142857142857,997.7142857142857,997.7142857142857,997.7142857142857,997.7142857142857,997.7142857142857,997.7142857142857,997.7142857142857,1.5,1.5,1.5
2021-01-01,971.5102040816327,1004.8163265306122,1004.8163265306122,1004.8163265306122,1004.8163265306122,1004.8163265306122,1004.8163265306122,1004.8163265306122,1004.8163265306122,1004.8163265306122,1.1,1.1,1.1
