date,reality,R_09,R_1,R_11,med,min,max,error_min,error_med,error_max
2021-01-02,989.8775510204082,1001.5714285714286,1001.5714285714286,1001.5714285714286,1001.5714285714286,1001.5714285714286,1001.5714285714286,0.4,0.4,0.4
2021-01-03,1008.2448979591837,1022.5714285714286,1022.5714285714286,1022.5714285714286,1022.5714285714286,1022.5714285714286,1022.5714285714286,0.5,0.5,0.5
2021-01-04,1026.6122448979593,1043.5714285714287,1043.5714285714287,1043.5714285714287,1043.5714285714287,1043.5714285714287,1043.5714285714287,0.6,0.6,0.6
2021-01-05,1044.9795918367347,1064.5714285714287,1064.5714285714287,1064.5714285714287,1064.5714285714287,1064.5714285714287,1064.5714285714287,0.6,0.6,0.6
2021-01-06,1063.3469387755104,1085.5714285714287,1085.5714285714287,1085.5714285714287,1085.5714285714287,1085.5714285714287,1085.5714285714287,0.7,0.7,0.7
2021-01-07,1081.7142857142858,1106.5714285714287,1106.5714285714287,1106.5714285714287,1106.5714285714287,1106.5714285714287,1106.5714285714287,0.8,0.8,0.8
2021-01-08,1101.7142857142858,1122.4897959183675,1123.6734693877552,1118.1428571428573,1122.4897959183675,1118.1428571428573,1123.6734693877552,0.5,0.7,0.7
2021-01-09,1121.7142857142858,1138.4081632653063,1140.7755102040817,1129.7142857142858,1138.4081632653063,1129.7142857142858,1140.7755102040817,0.3,0.5,0.6
2021-01-10,1141.7142857142858,1154.326530612245,1157.8775510204082,1141.2857142857144,1154.326530612245,1141.2857142857144,1157.8775510204082,-0,0.4,0.5
2021-01-11,1161.7142857142858,1170.2448979591836,1174.9795918367347,1152.857142857143,1170.2448979591836,1152.857142857143,1174.9795918367347,-0.3,0.3,0.4
2021-01-12,1181.7142857142858,1186.1632653061224,1192.0816326530612,1164.4285714285716,1186.1632653061224,1164.4285714285716,1192.0816326530612,-0.6,0.1,0.3
2021-01-13,1201.7142857142858,1202.0816326530612,1209.1836734693877,1176,1202.0816326530612,1176,1209.1836734693877,-0.8,0,0.2
