date,green1,green2,green3,blue1,blue2,blue3,reality_report,reality
2021-01-31,1138.1020408163265,1294.061224489796,1654.5510204081634,1199.6530612244899,1341.1020408163265,1763.6326530612243,NA,1329.0816326530612
2021-02-01,1143.0408163265306,1315.795918367347,1698.3061224489795,1207.204081632653,1369.0408163265306,1820.795918367347,NA,1328.7755102040817
2021-02-02,1147.9795918367347,1337.530612244898,1742.061224489796,1214.7551020408164,1396.9795918367347,1877.9591836734694,NA,1328.4693877551022
2021-02-03,1152.9183673469388,1359.265306122449,1785.8163265306123,1222.3061224489795,1424.9183673469388,1935.1224489795918,NA,1328.1632653061224
2021-02-04,1157.857142857143,1381,1829.5714285714287,1229.857142857143,1452.857142857143,1992.2857142857142,NA,1327.857142857143
2021-02-05,1163.265306122449,1401.8775510204082,1896.5510204081634,1243.9183673469388,1490.4693877551022,2100.3469387755104,NA,1304.530612244898
2021-02-06,1168.6734693877552,1422.7551020408164,1963.530612244898,1257.9795918367347,1528.0816326530612,2208.408163265306,NA,1281.204081632653
2021-02-07,1174.0816326530612,1443.6326530612246,2030.5102040816328,1272.0408163265306,1565.6938775510205,2316.469387755102,NA,1257.8775510204082
2021-02-08,1179.4897959183675,1464.5102040816325,2097.4897959183672,1286.1020408163265,1603.3061224489795,2424.530612244898,NA,1234.5510204081634
2021-02-09,1184.8979591836735,1485.3877551020407,2164.469387755102,1300.1632653061224,1640.9183673469388,2532.591836734694,NA,1211.2244897959185
2021-02-10,1190.3061224489797,1506.265306122449,2231.448979591837,1314.2244897959183,1678.5306122448978,2640.6530612244896,NA,1187.8979591836735
2021-02-11,1195.7142857142858,1527.142857142857,2298.4285714285716,1328.2857142857142,1716.142857142857,2748.714285714286,NA,1164.5714285714287
2021-02-12,1205.142857142857,1560.612244897959,2379.918367346939,1354.2448979591836,1777.0408163265306,2912.979591836735,NA,1161.5714285714287
2021-02-13,1214.5714285714287,1594.0816326530612,2461.408163265306,1380.204081632653,1837.938775510204,3077.2448979591836,NA,1158.5714285714287
2021-02-14,1224,1627.5510204081631,2542.8979591836733,1406.1632653061224,1898.8367346938776,3241.5102040816328,NA,1155.5714285714287
2021-02-15,1233.4285714285716,1661.0204081632653,2624.3877551020405,1432.1224489795918,1959.734693877551,3405.7755102040815,NA,1152.5714285714287
2021-02-16,1242.857142857143,1694.4897959183672,2705.877551020408,1458.0816326530612,2020.6326530612246,3570.0408163265306,NA,1149.5714285714287
2021-02-17,1252.2857142857144,1727.9591836734694,2787.3673469387754,1484.0408163265306,2081.5306122448983,3734.3061224489793,NA,1146.5714285714287
2021-02-18,1261.7142857142858,1761.4285714285713,2868.8571428571427,1510,2142.4285714285716,3898.5714285714284,NA,1143.5714285714287
2021-02-19,1275.9591836734694,1809.7346938775509,3002.34693877551,1554.8775510204082,2263.979591836735,4055.918367346939,NA,1149.387755102041
2021-02-20,1290.204081632653,1858.0408163265306,3135.8367346938776,1599.7551020408164,2385.530612244898,4213.265306122449,NA,1155.204081632653
2021-02-21,1304.4489795918366,1906.3469387755101,3269.326530612245,1644.6326530612246,2507.081632653061,4370.6122448979595,NA,1161.0204081632653
2021-02-22,1318.6938775510205,1954.6530612244896,3402.816326530612,1689.5102040816325,2628.6326530612246,4527.959183673469,NA,1166.8367346938776
2021-02-23,1332.938775510204,2002.9591836734694,3536.3061224489793,1734.3877551020407,2750.183673469388,4685.306122448979,NA,1172.6530612244899
2021-02-24,1347.1836734693877,2051.2653061224487,3669.7959183673465,1779.265306122449,2871.734693877551,4842.65306122449,NA,1178.469387755102
2021-02-25,1361.4285714285713,2099.5714285714284,3803.285714285714,1824.142857142857,2993.285714285714,5000,NA,1184.2857142857142
2021-02-26,1379.1836734693877,2170.612244897959,3967.714285714286,1911.673469387755,3193.8367346938776,NA,NA,1188.5306122448978
2021-02-27,1396.938775510204,2241.6530612244896,4132.142857142857,1999.204081632653,3394.3877551020405,NA,NA,1192.7755102040817
2021-02-28,1414.6938775510205,2312.6938775510203,4296.571428571428,2086.734693877551,3594.938775510204,NA,NA,1197.0204081632653
2021-03-01,1432.4489795918366,2383.734693877551,4461,2174.2653061224487,3795.4897959183672,NA,NA,1201.265306122449
2021-03-02,1450.204081632653,2454.7755102040815,4625.428571428572,2261.795918367347,3996.04081632653,NA,NA,1205.5102040816325
2021-03-03,1467.9591836734694,2525.816326530612,4789.857142857143,2349.326530612245,4196.591836734693,NA,NA,1209.7551020408164
2021-03-04,1485.7142857142858,2596.8571428571427,4954.285714285715,2436.8571428571427,4397.142857142857,NA,NA,1214
2021-03-05,1522.1020408163265,2718.224489795918,NA,2577.285714285714,NA,NA,NA,1221.6734693877552
